"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",3,1,2,2.5,0.950000000000001,1,0.875066135066797,"10/-5"
"0.12",3,0.877,3,3.5,1.71666666666667,1.5,0.864420165325996,"10/-5"
"0.12",3,0.823,2,6.00000000000002,3.25999999999999,2.89999999999999,2.41302023751702,"10/-5"
"0.12",3,0.604,3,2.75000000000001,1.75,1.50000000000001,0.816496580927727,"10/-10"
"0.12",3,0.217,1,2.33333333333333,1.64166666666667,1.75,0.600989410559736,"10/-10"
"0.12",3,0.762,2,2.44444444444445,1.37777777777778,1,0.617974921914495,"10/-10"
"0.12",3,0.577,2,2.66666666666667,1.6,1.5,0.662952617341169,"10/-10"
"0.12",3,0.82,2,2.46428571428571,1.33571428571428,1,0.596949919464945,"10/-10"
"0.12",3,0.341,2,3.11538461538461,1.53461538461539,1,0.753351049694806,"10/-10"
"0.12",3,0.602,3,4.48888888888889,1.99333333333333,1.5,1.24316733410114,"10/-10"
"0.12",3,1,2,2.5,1.35,1,0.579750904364203,"10/-10"
"0.12",3,0.353,2,2.99999999999999,1.725,1.5,0.803205384001431,"10/-10"
"0.12",3,0.156,2,2.57407407407407,1.80185185185185,2,0.610708808844131,"10/-10"
"0.12",3,1,3,4,1.6,1,1.07496769977314,"10/-10"
"0.12",3,0.426,4,16.6666666666666,10.35,11.0833333333333,5.85601410812574,"10/-10"
"0.12",3,1,2,2.5,0.950000000000001,1,0.875066135066797,"10/-10"
"0.12",3,0.815,3,3.5,1.71666666666667,1.5,0.864420165325996,"10/-10"
"0.12",3,0.711,2,6.00000000000002,3.25999999999999,2.89999999999999,2.41302023751702,"10/-10"
"0.12",3,0.938,3,2.75000000000001,1.75,1.50000000000001,0.816496580927727,"5/-1"
